Date,time,Wind Speed(m/s),Wind Direction(degree),Atmospheric Temperature(°C),Atmospheric Humidity(%),24-hour Cumulative Rainfall(mm/24h),Solar Radiation(W/m2)
2026-06-09,12:59:17,0.0,0,16.1,62.9,0.0,0
2026-06-09,13:00:17,0.0,0,16.1,63.0,0.0,0
2026-06-09,13:01:17,0.0,0,16.1,62.9,0.0,0
2026-06-09,13:02:17,0.0,0,16.1,63.2,0.0,0
2026-06-09,13:03:17,0.0,0,16.1,63.2,0.0,0
2026-06-09,13:04:17,0.0,0,16.1,63.3,0.0,0
2026-06-09,13:05:17,0.0,0,16.1,63.4,0.0,0
2026-06-09,13:06:17,0.0,0,16.1,63.3,0.0,0
2026-06-09,13:07:17,0.0,0,16.1,63.4,0.0,0
2026-06-09,13:08:17,0.0,0,16.1,63.3,0.0,0
2026-06-09,13:09:17,0.0,0,16.2,63.4,0.0,0
2026-06-09,13:10:17,0.0,0,16.2,63.3,0.0,0
2026-06-09,13:11:18,0.0,0,16.2,63.2,0.0,0
2026-06-09,13:12:18,0.0,0,16.2,63.2,0.0,0
2026-06-09,13:13:18,0.0,0,16.2,63.1,0.0,0
2026-06-09,13:14:18,0.0,0,16.2,63.1,0.0,0
2026-06-09,13:15:18,0.0,0,16.2,63.1,0.0,0
2026-06-09,13:16:18,0.0,0,16.1,63.2,0.0,0
2026-06-09,13:17:18,0.0,0,16.2,63.1,0.0,0
2026-06-09,13:18:18,0.0,0,16.2,63.2,0.0,0
2026-06-09,13:19:18,0.0,0,16.2,63.2,0.0,0
2026-06-09,13:20:18,0.0,0,16.2,63.1,0.0,0
2026-06-09,13:21:18,0.0,0,16.2,63.3,0.0,0
2026-06-09,13:22:18,0.0,0,16.2,63.5,0.0,0
2026-06-09,13:23:18,0.0,0,16.1,63.7,0.0,0
2026-06-09,13:24:18,0.0,0,16.1,63.9,0.0,0
2026-06-09,13:25:18,0.0,0,16.1,64.0,0.0,0
2026-06-09,13:26:19,0.0,0,16.1,63.9,0.0,0
2026-06-09,13:27:18,0.0,0,16.1,64.0,0.0,0
2026-06-09,13:28:19,0.0,0,16.0,64.0,0.0,0
2026-06-09,13:29:19,0.0,0,16.1,64.0,0.0,0
2026-06-09,13:30:19,0.0,0,16.0,64.1,0.0,0
2026-06-09,13:31:19,0.0,0,16.1,64.1,0.0,0
2026-06-09,13:32:19,0.0,0,16.1,64.2,0.0,0
2026-06-09,13:33:19,0.0,0,16.1,64.2,0.0,0
2026-06-09,13:34:19,0.0,0,16.0,64.1,0.0,0
2026-06-09,13:35:19,0.0,0,16.1,64.2,0.0,0
2026-06-09,13:36:19,0.0,0,16.1,64.1,0.0,0
2026-06-09,13:37:19,0.0,0,16.1,64.0,0.0,0
2026-06-09,13:38:19,0.0,0,16.1,63.9,0.0,0
2026-06-09,13:39:19,0.0,0,16.1,63.9,0.0,0
2026-06-09,13:40:19,0.0,0,16.1,63.8,0.0,0
2026-06-09,13:41:19,0.0,0,16.1,63.9,0.0,0
2026-06-09,13:42:20,0.0,0,16.1,63.8,0.0,0
2026-06-09,13:43:20,0.0,0,16.1,63.9,0.0,0
2026-06-09,13:44:20,0.0,0,16.1,63.8,0.0,0
2026-06-09,13:45:20,0.0,0,16.1,63.8,0.0,0
2026-06-09,13:46:20,0.0,0,16.1,63.8,0.0,0
2026-06-09,13:47:20,0.0,0,16.1,64.1,0.0,0
2026-06-09,13:48:20,0.0,0,16.2,64.4,0.0,0
2026-06-09,13:49:20,0.0,0,16.2,64.5,0.0,0
2026-06-09,13:50:14,0.0,0,16.1,64.6,0.0,0
2026-06-09,13:51:14,0.0,0,16.1,64.7,0.0,0
2026-06-09,13:52:14,0.0,0,16.2,64.7,0.0,0
2026-06-09,13:53:14,0.0,0,16.2,64.6,0.0,0
2026-06-09,13:54:14,0.0,0,16.1,64.5,0.0,0
2026-06-09,13:55:14,0.0,0,16.2,64.2,0.0,0
2026-06-09,13:56:14,0.0,0,16.2,64.2,0.0,0
2026-06-09,13:57:14,0.0,0,16.1,64.2,0.0,0
2026-06-09,13:58:14,0.0,0,16.1,64.1,0.0,0
2026-06-09,13:59:14,0.0,0,16.1,64.0,0.0,0
2026-06-09,14:00:14,0.0,0,16.1,64.0,0.0,0
2026-06-09,14:01:14,0.0,0,16.1,64.0,0.0,0
2026-06-09,14:02:15,0.0,0,16.1,64.0,0.0,0
2026-06-09,14:03:14,0.0,0,16.1,64.0,0.0,0
2026-06-09,14:04:15,0.0,0,16.1,64.2,0.0,0
2026-06-09,14:05:15,0.0,0,16.2,64.2,0.0,0
2026-06-09,14:06:15,0.0,0,16.2,64.3,0.0,0
2026-06-09,14:07:15,0.0,0,16.1,64.2,0.0,0
2026-06-09,14:08:15,0.0,0,16.2,64.2,0.0,0
2026-06-09,14:09:15,0.0,0,16.1,64.2,0.0,0
2026-06-09,14:10:15,0.0,0,16.2,64.2,0.0,0
2026-06-09,14:11:15,0.0,0,16.2,64.2,0.0,0
2026-06-09,14:12:15,0.0,0,16.2,64.2,0.0,0
2026-06-09,14:13:15,0.0,0,16.2,64.1,0.0,0
2026-06-09,14:14:15,0.0,0,16.2,64.1,0.0,0
2026-06-09,14:15:15,0.0,0,16.2,64.1,0.0,0
2026-06-09,14:16:15,0.0,0,16.2,64.1,0.0,0
2026-06-09,14:17:15,0.0,0,16.2,64.1,0.0,0
2026-06-09,14:18:16,0.0,0,16.2,64.1,0.0,0
2026-06-09,14:19:16,0.0,0,16.2,64.1,0.0,0
2026-06-09,14:20:15,0.0,0,16.2,64.3,0.0,0
2026-06-09,14:21:16,0.0,0,16.2,64.4,0.0,0
2026-06-09,14:22:16,0.0,0,16.1,64.4,0.0,0
2026-06-09,14:23:16,0.0,0,16.1,64.5,0.0,0
2026-06-09,14:24:16,0.0,0,16.1,64.4,0.0,0
2026-06-09,14:25:16,0.0,0,16.1,64.4,0.0,0
2026-06-09,14:26:16,0.0,0,16.1,64.7,0.0,0
2026-06-09,14:27:16,0.0,0,16.1,64.7,0.0,0
2026-06-09,14:28:16,0.0,0,16.1,64.7,0.0,0
2026-06-09,14:29:16,0.0,0,16.1,65.1,0.0,0
2026-06-09,14:30:16,0.0,0,16.1,64.8,0.0,0
2026-06-09,14:31:16,0.0,0,16.1,64.8,0.0,0
2026-06-09,14:32:16,0.0,0,16.1,64.7,0.0,0
2026-06-09,14:33:16,0.0,0,16.1,64.8,0.0,0
2026-06-09,14:34:17,0.0,0,16.2,64.8,0.0,0
2026-06-09,14:35:17,0.0,0,16.2,64.8,0.0,0
2026-06-09,14:36:17,0.0,0,16.2,64.8,0.0,0
2026-06-09,14:37:17,0.0,0,16.2,64.8,0.0,0
2026-06-09,14:38:17,0.0,0,16.2,64.7,0.0,0
2026-06-09,14:39:17,0.0,0,16.2,64.7,0.0,0
2026-06-09,14:40:17,0.0,0,16.2,64.6,0.0,0
2026-06-09,14:41:17,0.0,0,16.3,64.6,0.0,0
2026-06-09,14:42:17,0.0,0,16.2,64.5,0.0,0
2026-06-09,14:43:17,0.0,0,16.3,64.5,0.0,0
2026-06-09,14:44:17,0.0,0,16.3,64.4,0.0,0
2026-06-09,14:45:17,0.0,0,16.3,64.5,0.0,0
2026-06-09,14:46:17,0.0,0,16.3,64.3,0.0,0
2026-06-09,14:47:17,0.0,0,16.4,64.2,0.0,0
2026-06-09,14:48:18,0.0,0,16.4,64.2,0.0,0
2026-06-09,14:49:17,0.0,0,16.3,64.1,0.0,0
2026-06-09,14:50:18,0.0,0,16.4,64.1,0.0,0
2026-06-09,14:51:18,0.0,0,16.4,64.1,0.0,0
2026-06-09,14:52:18,0.0,0,16.4,64.0,0.0,0
2026-06-09,14:53:18,0.0,0,16.4,63.9,0.0,0
2026-06-09,14:54:18,0.0,0,16.4,63.9,0.0,0
2026-06-09,14:55:18,0.0,0,16.4,63.9,0.0,0
2026-06-09,14:56:18,0.0,0,16.4,63.8,0.0,0
2026-06-09,14:57:18,0.0,0,16.4,63.8,0.0,0
2026-06-09,14:58:18,0.0,0,16.5,63.8,0.0,0
2026-06-09,14:59:18,0.0,0,16.5,63.8,0.0,0
2026-06-09,15:00:18,0.0,0,16.5,63.7,0.0,0
2026-06-09,15:01:18,0.0,0,16.5,63.7,0.0,0
2026-06-09,15:02:18,0.0,0,16.5,63.7,0.0,0
2026-06-09,15:03:18,0.0,0,16.5,63.6,0.0,0
2026-06-09,15:04:19,0.0,0,16.5,63.7,0.0,0
2026-06-09,15:05:18,0.0,0,16.5,63.6,0.0,0
2026-06-09,15:06:19,0.0,0,16.5,63.5,0.0,0
2026-06-09,15:07:19,0.0,0,16.6,63.5,0.0,0
2026-06-09,15:08:19,0.0,0,16.5,63.5,0.0,0
2026-06-09,15:09:19,0.0,0,16.5,63.5,0.0,0
2026-06-09,15:10:19,0.0,0,16.6,63.6,0.0,0
2026-06-09,15:11:19,0.0,0,16.6,63.6,0.0,0
2026-06-09,15:12:19,0.0,0,16.6,63.6,0.0,0
2026-06-09,15:13:19,0.0,0,16.6,63.5,0.0,0
